
SatTrack V4.18.1.0 Shadow Analysis


Input file:

  Shadow.NUSTAR


Object:

  Object Name       : NUSTAR
  Object Number     : 99105
  Element Set Number: 999
  Reference Orbit   : 49447
  Element Set Epoch : 14-Jul-2021  2021/195  02:25:58.658 UTC
  Element Set Age   : 0.000 d
  Launch Date/Time  : 13-Jun-2012  2012/165  16:00:37.000 UTC
  Central Body      : Earth
  Orbit Geometry    : 616.482 km x 600.826 km at 6.031 deg
  Avrg Nodal Period : 96.478 min
  Propagation Model : SGP4


Shadow Statistics:

  Begin of Analysis Interval  : 14-Jul-2021  2021/195  02:26:00 UTC
  End of Analysis Interval    : 13-Aug-2021  2021/225  02:25:58 UTC
  Total Time Interval         : 30.000 d
  Time Resolution             : 10.000 s
  Shadow Entry/Exit Condition : 100.0 % of Full Sunlight
  Number of Shadow Periods    : 448
  Shortest Gap Between Shadows: 61.333 min
  Longest Gap Between Shadows : 62.667 min


  Shortest Penumbra   Longest Penumbra   Average Penumbra   Total Penumbra   Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           0.0                0.2                0.1               66.2                  0.2


    Shortest Umbra      Longest Umbra      Average Umbra      Total Umbra    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          14.0               35.2               34.2            15341.5                 35.5


   Shortest Shadow     Longest Shadow     Average Shadow     Total Shadow    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          14.0               35.3               34.4            15407.7                 35.7


Shadow Periods:

     Shadow Begin    -       Shadow End          Entry Penumbra   Exit Penumbra   Total Penumbra     Total Umbra     Total Shadow      Depth

  2021/200 02:52:40  -  2021/200 03:26:50  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 04:29:20  -  2021/200 05:03:30  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 06:06:00  -  2021/200 06:40:10  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 07:42:30  -  2021/200 08:16:40  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 09:19:10  -  2021/200 09:53:20  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 10:55:50  -  2021/200 11:30:00  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 12:32:30  -  2021/200 13:06:40  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 14:09:10  -  2021/200 14:43:20  UTC        0.0 min         0.0 min          0.0 min          34.2 min         34.2 min      100.0 %
  2021/200 15:45:40  -  2021/200 16:19:50  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 17:22:20  -  2021/200 17:56:30  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 18:59:00  -  2021/200 19:33:10  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 20:35:40  -  2021/200 21:09:50  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/200 22:12:20  -  2021/200 22:46:20  UTC        0.0 min         0.0 min          0.0 min          34.0 min         34.0 min      100.0 %
  2021/200 23:48:50  -  2021/201 00:23:00  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 01:25:30  -  2021/201 01:59:40  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 03:02:10  -  2021/201 03:36:20  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 04:38:50  -  2021/201 05:12:50  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/201 06:15:30  -  2021/201 06:49:30  UTC        0.0 min         0.0 min          0.0 min          34.0 min         34.0 min      100.0 %
  2021/201 07:52:00  -  2021/201 08:26:10  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 09:28:40  -  2021/201 10:02:50  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 11:05:20  -  2021/201 11:39:30  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 12:42:00  -  2021/201 13:16:00  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/201 14:18:40  -  2021/201 14:52:40  UTC        0.0 min         0.0 min          0.0 min          34.0 min         34.0 min      100.0 %
  2021/201 15:55:10  -  2021/201 16:29:20  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 17:31:50  -  2021/201 18:06:00  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/201 19:08:30  -  2021/201 19:42:30  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/201 20:45:10  -  2021/201 21:19:10  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/201 22:21:50  -  2021/201 22:55:50  UTC        0.0 min         0.0 min          0.0 min          34.0 min         34.0 min      100.0 %
  2021/201 23:58:20  -  2021/202 00:32:30  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 01:35:00  -  2021/202 02:09:10  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 03:11:40  -  2021/202 03:45:40  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 04:48:20  -  2021/202 05:22:20  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 06:24:50  -  2021/202 06:59:00  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 08:01:30  -  2021/202 08:35:40  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 09:38:10  -  2021/202 10:12:10  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 11:14:50  -  2021/202 11:48:50  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 12:51:30  -  2021/202 13:25:30  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 14:28:00  -  2021/202 15:02:10  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 16:04:40  -  2021/202 16:38:50  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/202 17:41:20  -  2021/202 18:15:20  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 19:18:00  -  2021/202 19:52:00  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 20:54:40  -  2021/202 21:28:40  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/202 22:31:10  -  2021/202 23:05:20  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/203 00:07:50  -  2021/203 00:41:50  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 01:44:30  -  2021/203 02:18:30  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 03:21:10  -  2021/203 03:55:10  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 04:57:50  -  2021/203 05:31:50  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 06:34:20  -  2021/203 07:08:30  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/203 08:11:00  -  2021/203 08:45:00  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 09:47:40  -  2021/203 10:21:40  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 11:24:20  -  2021/203 11:58:20  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 13:01:00  -  2021/203 13:35:00  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 14:37:30  -  2021/203 15:11:40  UTC        0.2 min         0.0 min          0.2 min          34.0 min         34.2 min      100.0 %
  2021/203 16:14:10  -  2021/203 16:48:10  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 17:50:50  -  2021/203 18:24:50  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 19:27:30  -  2021/203 20:01:30  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 21:04:10  -  2021/203 21:38:10  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/203 22:40:40  -  2021/203 23:14:40  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
  2021/204 00:17:20  -  2021/204 00:51:20  UTC        0.2 min         0.0 min          0.2 min          33.8 min         34.0 min      100.0 %
